2533	127,350			956,237		13.3		42.2
2534	127,124			960,556		13.2		41.9
2535	123,382			964,557		12.8		40.7
2536	121,911			957,832		12.7		40.2
2537	122,406			960,248		12.7		42.8
2538	117,899			963,678		12.2		41.2
2539	113,272			944,118		12		39.7
2540	102,529			897,604		11.4		36
2541	110,996			897,495		12.4		39.1
2542	91,785			772,604		11.9		32.6
2543	86,675			773,009		11.2		31.1
2544	92,587			790,425		11.7		33.7
2545	93,554			782,911		11.9		37.9
2546	94,802			742,183		12.8		39.5
2547	110,206			813,069		13.6		47.3
2548	113,048			809,485		14		49.3
2549	112,509			793,623		14.2		48.9
2550	116,086			797,588		14.6		49.7
2551	118,921			784,256		15.2		50.1
2552	119,828			765,047		15.7		50.1
2553	120,115			761,689		15.8		50.1
2554	129,321			795,031		16.3		53.6
2555	129,451			801,737		16.1		53.8
